Song Title,Artist,Album,Release Year,Genre,Lyrics
Torn,Natalie Imbruglia,Left of the Middle,1997,Pop rock,"I thought I saw a man brought to life
He was warm, he came around like he was dignified
He showed me what it was to cryWell you couldn't be that man that I adored
You don't seem to know, or seem to care what your heart is for
I don't know him anymore
There's nothin' where he used to lie
Our conversation has run dry
That's what's goin' on
Nothing's fine, I'm tornI'm all out of faith, this is how I feel
I'm cold and I am shamed
Lying naked on the floor
Illusion never changed
Into something real
I'm wide awake and I can see the perfect sky is torn
You're a little late
I'm already tornSo I guess the fortune teller's right
Should have seen just what was there and not some holy light
But you crawled beneath my veins and now
I don't care, I have no luck
I don't miss it all that much
There's just so many things
That I can't touch, I'm tornI'm all out of faith, this is how I feel
I'm cold and I am shamed
Lying naked on the floor
Illusion never changed
Into something real
I'm wide awake and I can see the perfect sky is torn
You're a little late
I'm already tornTornThere's nothing where he used to lie
My inspiration has run dry
That's what's goin' on
Nothing's right, I'm tornI'm all out of faith
This is how I feel
I'm cold and I am shamed
Lying naked on the floor
Illusion never changed
Into something real
I'm wide awake and I can see the perfect sky is tornI'm all out of faith
This is how I feel
I'm cold and I am ashamed
Bound and broken on the floor
You're a little late
I'm already tornTornOhOh yeah, oh yeahOh yeah, oh yeah"
Gangsta's Paradise,Coolio featuring L.V.,Dangerous Minds: Music from the Motion Picture,1995,Rap Hip hop,"As I walk through the valley of the shadow of death
I take a look at my life and realize there's nothin' left
'Cause I've been blastin' and laughin' so long that
Even my momma thinks that my mind is goneBut I ain't never crossed a man that didn't deserve it
Me be treated like a punk, you know that's unheard of
You better watch how you talkin' and where you walkin'
Or you and your homies might be lined in chalkI really hate to trip, but I gotta loc
As they croak, I see myself in the pistol smoke
Fool, I'm the kinda G the little homies wanna be like
On my knees in the night, sayin' prayers in the streetlightBeen spendin' most their lives
Livin' in a gangsta's paradise
Been spendin' most their lives
Livin' in a gangsta's paradise
Keep spendin' most our lives
Livin' in a gangsta's paradise
Keep spendin' most our lives
Livin' in a gangsta's paradiseLook at the situation they got me facing
I can't live a normal life, I was raised by the street
So I gotta be down with the hood team
Too much television watchin', got me chasing dreamsI'm a educated fool with money on my mind
Got my ten in my hand and a gleam in my eye
I'm a loc'd out gangsta, set trippin' banger
And my homies is down, so don't arouse my angerFool, death ain't nothin' but a heart beat away
I'm livin' life do or die, what can I say?
I'm 23 now but will I live to see 24?
The way things is going I don't knowTell me why are we so blind to see
That the ones we hurt are you and me?Been spendin' most their lives
Livin' in a gangsta's paradise
Been spendin' most their lives
Livin' in a gangsta's paradise
Keep spendin' most our lives
Livin' in a gangsta's paradise
Keep spendin' most our lives
Livin' in a gangsta's paradisePower and the money, money and the power
Minute after minute, hour after hour
Everybody's runnin', but half of them ain't lookin'
It's going on in the kitchen, but I don't know what's cookin'They say I gotta learn, but nobody's here to teach me
If they can't understand it, how can they reach me?
I guess they can't, I guess they won't
I guess they front, that's why I know my life is out of luck, foolBeen spendin' most their lives
Livin' in a gangsta's paradise
Been spendin' most their lives
Livin' in a gangsta's paradise
Keep spendin' most our lives
Livin' in a gangsta's paradise
Keep spendin' most our lives
Livin' in a gangsta's paradiseTell me why are we so blind to see
That the ones we hurt are you and me?
Tell me why are we so blind to see
That the ones we hurt are you and me?"
Genie in a Bottle,Christina Aguilera,Christina Aguilera,1999,Pop,"Come on, come on
Uh, yeah
Come on, come on, uhI feel like I've been locked up tight
For a century of lonely nights
Waiting for someone to release me
You're lickin' your lips
And blowing kisses my way
But that don't mean I'm gonna give it away
Baby, baby, baby (baby, baby, baby)Oh, oh, oh
My body's sayin' let's go
Oh, oh, oh
But my heart is sayin' noIf you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle
You gotta rub me the right way
If you wanna be with me
I can make your wish come true
You gotta make a big impression (oh yeah)
Gotta like what you doI'm a genie in a bottle, baby
Gotta rub me the right way, honey
I'm a genie in a bottle, baby
Come come, come on and let me outThe music's fading and the lights down low
Just one more dance and then we're good to go
Waiting for someone who needs me
Hormones racing at the speed of light
But that don't mean it's gotta be tonight
Baby, baby, baby (baby, baby, baby)Oh, oh, oh
My body's sayin' let's go
Oh, oh, oh
But my heart is sayin' no (but my heart is sayin' no)If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle (I'm a genie in a bottle)
You gotta rub me the right way
If you wanna be with me (oh)
I can make your wish come true (your wish come true oh)
Just come and set me free, baby
And I'll be with youI'm a genie in a bottle, baby
Gotta rub me the right way, honey
I'm a genie in a bottle, baby
Come come, come on and let me out
I'm a genie in a bottle, baby
Gotta rub me the right way, honey
(If you wanna be with me)
I'm a genie in a bottle, baby
Come come, come on and let me outOh, oh, oh
My body's sayin' let's go
Oh, oh, oh
But my heart is sayin' noIf you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle (I'm a genie in a bottle)
You gotta rub me the right way
If you wanna be with me
I can make your wish come true
You gotta make a big impression 
Gotta like what you do
If you wanna be with me
Baby, there's a price to pay
I'm a genie in a bottle (in a bottle baby)
You gotta rub me the right way
If you wanna be with me (if you wanna be with me)
I can make your wish come true
Just come and set me free, baby
And I'll be with youI'm a genie in a bottle, baby
Come come, come on and let me out"
Blue (Da Ba Dee),Eiffel 65,Europop,1999,Electropop,"Yo, listen up here's a story
About a little guy
That lives in a blue world
And all day and all night
And everything he sees is just blue
Like him inside and outside
Blue his house
With a blue little window
And a blue corvette
And everything is blue for him
And himself and everybody around
Cause he ain't got nobody to listen to
I'm blue
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
I'm blue
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
I have a blue house
With a blue window
Blue is the colour of all that I wear
Blue are the streets
And all the trees are too
I have a girlfriend and she is so blue
Blue are the people here
That walk around
Blue like my corvette its in and outside
Blue are the words I say
And what I think
Blue are the feelings
That live inside me
I'm blue
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
I'm blue
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
I have a blue house
With a blue window
Blue is the colour of all that I wear
Blue are the streets
And all the trees are too
I have a girlfriend and she is so blue
Blue are the people here
That walk around
Blue like my corvette, its in and outside
Blue are the words I say
And what I think
Blue are the feelings
That live inside me
I'm blue
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
I'm blue
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di"
Breathe,The Prodigy,The Fat of the Land,1996,Big beat Electronica,"Breathe with me
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Come play my game
Inhale, inhale, you're the victim
Come play my game
Exhale, exhale, exhale
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Come play my game
Inhale, inhale, you're the victim
Come play my game
Exhale, exhale, exhale
Come breathe with me
Breathe with me
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Come play my game
Inhale, inhale, you're the victim
Come play my game
Exhale, exhale, exhale
Breathe with me
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Come play my game
Inhale, inhale, you're the victim
Come play my game
Exhale, exhale, exhale"
Can't Take My Eyes Off You,Lauryn Hill,The Miseducation of Lauryn Hill,1998,R&B Neo soul,"You're just too good to be true
Can't take my eyes off of you
You'd be like heaven to touch
I wanna hold you so much
At long last love has arrived
And I thank God I'm alive
You're just too good to be true
Can't take my eyes off of you
Pardon the way that I stare
There's nothing else to compare
The sight of you leaves me weak
There are no words left to speak
But if you feel like I feel
Please let me know that it's real
You're just too good to be true
Can't take my eyes off of you
I need you baby, and if it's quite all right
I need you baby, to warm a lonely night
I love you baby, trust in me when I say it's okay
Oh pretty baby, don't let me down, I pray
Oh pretty baby, now that I found you, stay
And let me love you, oh baby let me love you, oh baby
You're just too good to be true
Can't take my eyes off of you
You'd be like heaven to touch
I wanna hold you so much
At long last love has arrived
And I thank God I'm alive
You're just too good to be true
Can't take my eyes off of you
I need you baby, and if it's quite all right
I need you baby, to warm a lonely night
I love you baby, trust in me when I say it's okay
Oh pretty baby, don't let me down, I pray
Oh pretty baby, now that I found you, stay
And let me love you, oh baby let me love you, oh baby"
Say My Name,Destiny's Child,The Writing's on the Wall,1999,R&B,"Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Why the sudden change
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Better say my name
Any other day
I would call and you would say
Baby how's your day
But today, it ain't the same
Every other word
Is ""uh-huh"" yeah ""okay""
Could it be that you
Are at the crib with another lady
If you took it there
First of all, let me say
I am not the one
To sit around, and be played
So prove yourself to me
I am the girl that you claim
Why don't you say the thangs
That you said to me yesterday
I know you say that I am assuming things
Something's going down that's the way it seems
Shouldn't be the reason why you're acting strange
If nobody's holding you back from me
'Cause I know how you usually do
When you say everything to me times two
Why can't you just tell the truth
If somebody's there then tell me who
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Why the sudden change
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Better say my name
What is up with this
Tell the truth, who you with
How would you like it if
I came over with my clique
Don't try to change it now
See you gotta bounce
When two seconds ago
You said you just got in the house
It's hard to believe that you
Are at home, by yourself
When I just heard the voice
Heard the voice of someone else
Just this question why
Do you feel you gotta lie
Gettin' caught up in your game
When you can not say my name
I know you say that I am assuming things
Something's going down that's the way it seems
Shouldn't be the reason why you're acting strange
If nobody's holding you back from me
'Cause I know how you usually do
When you say everything to me times two
Why can't you just tell the truth
If somebody's there then tell me who
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Why the sudden change
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Better say my name
I know you say that I am assuming things
Something's going down that's the way it seems
Shouldn't be the reason why you're acting strange
If nobody's holding you back from me
'Cause I know how you usually do
When you say everything to me times two
Why can't you just tell the truth
If somebody's there then tell me who
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Why the sudden change
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Baby say my name, say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Why the sudden change
Say my name, say my name
If no one is around you
Say baby I love you
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me baby
Baby say my name"
Yellow,Coldplay,Parachutes,2000,Alternative rock,"Look at the stars
Look how they shine for you
And everything you do
Yeah, they were all yellow
I came along
I wrote a song for you
And all the things you do
And it was called Yellow
So then I took my turn
Oh, what a thing to have done
And it was all yellow
Your skin, oh yeah, your skin and bones
Turn into something beautiful
And you know, you know I love you so
You know I love you so
I swam across
I jumped across for you
Oh, what a thing to do
'Cause you were all yellow
I drew a line
I drew a line for you
Oh, what a thing to do
And it was all yellow
And your skin, oh yeah, your skin and bones
Turn into something beautiful
And you know, for you, I'd bleed myself dry
For you, I'd bleed myself dry
It's true
Look how they shine for you
Look how they shine for you
Look how they shine for
Look how they shine for you
Look how they shine for you
Look how they shine
Look at the stars
Look how they shine for you
And all the things that you do"
Stan,Eminem featuring Dido,The Marshall Mathers LP,2000,Rap Hip hop,"[Produced by DJ Mark the 45 King]

[Intro: Dido]
My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could, it'd all be grey
But your picture on my wall
It reminds me that it's not so bad, it's not so bad

[Chorus: Dido]
My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could, it'd all be grey
But your picture on my wall
It reminds me that it's not so bad, it's not so bad

[Verse 1: Eminem]
Dear Slim, I wrote you, but you still ain't callin'
I left my cell, my pager and my home phone at the bottom
I sent two letters back in autumn, you must not've got 'em
There probably was a problem at the post office or somethin'
Sometimes I scribble addresses too sloppy when I jot 'em
But anyways, fuck it, what's been up, man? How's your daughter?
My girlfriend's pregnant too, I'm 'bout to be a father
If I have a daughter, guess what I'ma call her? I'ma name her Bonnie
I read about your Uncle Ronnie too, I'm sorry
I had a friend kill himself over some bitch who didn't want him
I know you probably hear this every day, but I'm your biggest fan
I even got the underground shit that you did with Skam
I got a room full of your posters and your pictures, man
I like the shit you did with Rawkus too, that shit was phat
Anyways, I hope you get this, man, hit me back
Just to chat, truly yours, your biggest fan, this is Stan
You might also like
Big Foot
Nicki Minaj
Big Foot (A Cappella)
Nicki Minaj
The Twelve Days of Christmas
Christmas Songs
[Chorus: Dido]
My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could, it'd all be grey
But your picture on my wall
It reminds me that it's not so bad, it's not so bad

[Verse 2: Eminem]
Dear Slim, you still ain't called or wrote, I hope you have a chance
I ain't mad, I just think it's fucked up you don't answer fans
If you didn't want to talk to me outside your concert, you didn't have to
But you coulda signed an autograph for Matthew
That's my little brother, man, he's only six years old
We waited in the blisterin' cold for you, for four hours, and you just said, ""no""
That's pretty shitty, man, you're like his fuckin' idol
He wants to be just like you, man, he likes you more than I do
I ain't that mad, though I just don't like bein' lied to
Remember when we met in Denver? You said if I'd write you, you would write back
See, I'm just like you in a way: I never knew my father neither
He used to always cheat on my mom and beat her
I can relate to what you're sayin' in your songs
So when I have a shitty day, I drift away and put 'em on
'Cause I don't really got shit else, so that shit helps when I'm depressed
I even got a tattoo with your name across the chest
Sometimes I even cut myself to see how much it bleeds
It's like adrenaline, the pain is such a sudden rush for me
See, everything you say is real, and I respect you 'cause you tell it
My girlfriend's jealous 'cause I talk about you 24/7
But she don't know you like I know you, Slim, no one does
She don't know what it was like for people like us growin' up
You gotta call me, man, I'll be the biggest fan you'll ever lose
Sincerely yours, Stan?�P.S. We should be together too
[Chorus: Dido]
My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could, it'd all be grey
But your picture on my wall
It reminds me that it's not so bad, it's not so bad

[Verse 3: Eminem]
Dear Mr. I'm-Too-Good-to-Call-or-Write-My-Fans
This'll be the last package I ever send your ass
It's been six months, and still no word?�I don't deserve it?
I know you got my last two letters, I wrote the addresses on 'em perfect
So this is my cassette I'm sendin' you, I hope you hear it
I'm in the car right now, I'm doin' ninety on the freeway
Hey, Slim, I drank a fifth of vodka, you dare me to drive?
You know the song by Phil Collins, ""In the Air of the Night""
About that guy who coulda saved that other guy from drownin'
But didn't, then Phil saw it all, then at a show he found him?
That's kinda how this is: you coulda rescued me from drownin'
Now it's too late, I'm on a thousand downers now?�I'm drowsy
And all I wanted was a lousy letter or a call
I hope you know I ripped all of your pictures off the wall
I loved you, Slim, we coulda been together?�think about it!
You ruined it now, I hope you can't sleep and you dream about it
And when you dream, I hope you can't sleep and you scream about it
I hope your conscience eats at you and you can't breathe without me
See, Slim?�shut up, bitch! I'm tryin' to talk
Hey, Slim, that's my girlfriend screamin' in the trunk
But I didn't slit her throat, I just tied her up?�see? I ain't like you
'Cause if she suffocates she'll suffer more and then she'll die too
Well, gotta go, I'm almost at the bridge now
Oh, shit, I forgot?�how am I supposed to send this shit out?!
[Chorus: Dido]
My tea's gone cold, I'm wondering why I
Got out of bed at all
The morning rain clouds up my window
And I can't see at all
And even if I could, it'd all be grey
But your picture on my wall
It reminds me that it's not so bad, it's not so bad

[Verse 4: Eminem]
Dear Stan, I meant to write you sooner, but I just been busy
You said your girlfriend's pregnant now, how far along is she?
Look, I'm really flattered you would call your daughter that
And here's an autograph for your brother; I wrote it on a Starter cap
I'm sorry I didn't see you at the show, I must've missed you
Don't think I did that shit intentionally just to diss you
But what's this shit you said about you like to cut your wrists too?
I say that shit just clownin', dawg, come on, how fucked up is you?
You got some issues, Stan, I think you need some counselin'
To help your ass from bouncin' off the walls when you get down some
And what's this shit about us meant to be together?
That type of shit'll make me not want us to meet each other
I really think you and your girlfriend need each other
Or maybe you just need to treat her better
I hope you get to read this letter, I just hope it reaches you in time
Before you hurt yourself, I think that you'll be doin' just fine
If you relax a little, I'm glad I inspire you, but Stan
Why are you so mad? Try to understand that I do want you as a fan
I just don't want you to do some crazy shit
I seen this one shit on the news a couple weeks ago that made me sick
Some dude was drunk and drove his car over a bridge
And had his girlfriend in the trunk, and she was pregnant with his kid
And in the car they found a tape, but they didn't say who it was to
Come to think about it, his name was?�it was you
Damn..."
Hips Don't Lie,Shakira featuring Wyclef Jean,Oral Fixation Vol. 2,2006,Pop Reggaeton,"Ladies up in here tonight
No fighting
We got the refugees up in here (no fighting)
No fighting
Shakira, Shakira
I never really knew that she could dance like this (hey)
She make a man wants to speak Spanish
¿Cómo se llama? (Sí), bonita (sí)
Mi casa, su casa (Shakira, Shakira)
Oh, baby, when you talk like that
You make a woman go mad
So be wise (sí) and keep on (sí)
Reading the signs of my body (uno, dos, tres, cuatro)
I'm on tonight
You know my hips don't lie (no fighting)
And I'm starting to feel it's right
All the attraction, the tension
Don't you see, baby, this is perfection?
Hey, girl, I can see your body moving
And it's driving me crazy
And I didn't have the slightest idea
Until I saw you dancing (yeah)
And when you walk up on the dance floor
Nobody cannot ignore the way you move your body, girl (just move)
And everything so unexpected, the way you right and left it
So you can keep on shaking it (let's go)
I never really knew that she could dance like this
She make a man wants to speak Spanish
¿Cómo se llama? (Sí), bonita (sí)
Mi casa, su casa (Shakira, Shakira)
Oh, baby, when you talk like that
You make a woman go mad
So be wise (sí) and keep on (sí)
Reading the signs of my body (no fighting)
I'm on tonight
You know my hips don't lie (no fighting)
And I am starting to feel you, boy
Come on, let's go, real slow
Don't you see, baby, así es perfecto?
They know I am on tonight, my hips don't lie
And I'm starting to feel it's right
All the attraction, the tension
Don't you see, baby, this is perfection? (Shakira, Shakira)
Oh, boy, I can see your body moving
Half animal, half man
I don't, don't really know what I'm doing
But you seem to have a plan
My will and self-restraint
Have come to fail now, fail now
See, I am doing what I can, but I can't so you know
That's a bit too hard to explain (uno, dos, tres, cuatro)
Baila en la calle de noche (yeah)
Baila en la calle de día (let's go)
Baila en la calle de noche
Baila en la calle de día
I never really knew that she could dance like this
She make a man wants to speak Spanish
¿Cómo se llama? (Sí), bonita (sí)
Mi casa, su casa (Shakira, Shakira)
Oh, baby, when you talk like that
You know you got me hypnotized
So be wise (sí) and keep on (sí)
Reading the signs of my body
Señorita, feel the conga
Let me see you move like you come from Colombia
Yeah (ladies sí) (yeah yeah)
(Hey, yeah)
¡Mira en Barranquilla se baila así, say it! (yeah)
En Barranquilla se baila así (yeah)
Hey, brra!
Yeah, she's so sexy, every man's fantasy
A refugee like me back with the Fugees from a third world country
I go back like when 'Pac carried crates for Humpty Humpty
We leave the whole club dizzy
Why the CIA wanna watch us?
Colombians and Haitians
I ain't guilty, it's a musical transaction
Bo bop so bop, no more do we snatch ropes
Refugees run the seas 'cause we own our own boats (no fighting)
I'm on tonight, my hips don't lie
And I'm starting to feel you, boy
Come on, let's go, real slow
Baby, like this is perfecto (no fighting)
Oh, you know I'm on tonight, my hips don't lie
And I am starting to feel it's right
The attraction, the tension
Baby, like this is perfection
No fighting
No fighting"
Paper Planes,M.I.A.,Kala,2007,Alternative hip hop,"I fly like paper, get high like planes
If you catch me at the border, I got visas in my name
If you come around here, I make 'em all day
I get one done in a second if you wait
I fly like paper, get high like planes
If you catch me at the border, I got visas in my name
If you come around here, I make 'em all day
I get one done in a second if you wait
Sometimes I think sittin' on trains
Every stop I get to, I'm clocking that game
Everyone's a winner, we're making our fame
Bona fide hustler making my name
Sometimes I think sittin' on trains
Every stop I get to, I'm clocking that game
Everyone's a winner, we're making our fame
Bona fide hustler making my name
All I wanna do is-
And a-
And take your money
All I wanna do is-
And a-
And take your money
All I wanna do is-
And a-
And take your money
All I wanna do is-
And a-
And take your money
Pirate skulls and bones
Sticks and stones and weed and bongs
Running when we hit 'em
Lethal poison for the system
Pirate skulls and bones
Sticks and stones and weed and bongs
Running when we hit 'em
Lethal poison for the system
No one on the corner has swagger like us
Hit me on my burner prepaid wireless
We pack and deliver like UPS trucks
Already going to hell, just pumping that gas
No one on the corner has swagger like us
Hit me on my burner prepaid wireless
We pack and deliver like UPS trucks
Already going to hell, just pumping that gas
All I wanna do is-
And a-
And take your money
All I wanna do is-
And a-
And take your money
All I wanna do is-
And a-
And take your money
All I wanna do is-
And a-
And take your money
M.I.A.
Third world democracy
Yeah, I've got more records than the KGB
So, uh, no funny business (are you ready all?)
Some, some, some I, some I murder
Some, I some I let go
Some, some, some I, some I murder
Some I, some I let go
All I wanna do is-
And a-
And take your money
All I wanna do is-
And a-
And take your money
All I wanna do is-
And a-
And take your money
All I wanna do is-
And a-
And take your money"
Hello,Adele,25,2015,Pop Soul,"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore"
Dance Monkey,Tones and I,The Kids Are Coming,2019,Pop,"They say, oh my God I see the way you shine
Take your hand, my dear, and place them both in mine
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time
Ooh, I see you, see you, see you every time
And oh my I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time
So they say
""Dance for me, dance for me, dance for me, oh-oh
I've never seen anybody do the things you do before""
They say, ""Move for me, move for me, move for me, ay-ay
And when you're done, I'll make you do it all again""
I said, ""Oh my God I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancing my whole life
But you just beg to see me dance just one more time
Ooh, I see you, see you, see you every time
And oh my I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time
So they say
""Dance for me, dance for me, dance for me, oh-oh
I've never seen anybody do the things you do before""
They say, ""Move for me, move for me, move for me, ay-ay
And when you're done, I'll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say, ""Move for me, move for me, move for me, ay-ay
And when you're done, I'll make you do it all again""
Ooh
Whoa-oh, whoa-oh, oh
Ooh
Ah, ah, ah
They say
""Dance for me, dance for me, dance for me, oh-oh
I've never seen anybody do the things you do before
They say, ""Move for me, move for me, move for me, ay-ay
And when you're done, I'll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say, ""Move for me, move for me, move for me, ay-ay
And when you're done, I'll make you do it all again
All again"""
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik,1991,Alternative rock,"Sometimes I feel like I don't have a partner
Sometimes I feel like my only friend
Is the city I live in, the city of angels
Lonely as I am, together we cry
I drive on her streets 'cause she's my companion
I walk through her hills 'cause she knows who I am
She sees my good deeds and she kisses me windy
Well, I never worry, now that is a lie
I don't ever wanna feel
Like I did that day
Take me to the place I love
Take me all the way
I don't ever wanna feel
Like I did that day
Take me to the place I love
Take me all the way
Yeah, yeah, yeah
It's hard to believe that there's nobody out there
It's hard to believe that I'm all alone
At least I have her love, the city, she loves me
Lonely as I am, together we cry
I don't ever wanna feel
Like I did that day
Take me to the place I love
Take me all the way
I don't ever wanna feel
Like I did that day
Take me to the place I love
Take me all the way
Yeah, yeah, yeah
Oh, no, no-no, yeah, yeah
Love me, I say, yeah yeah
One time
Is where I drew some blood
(Under the bridge downtown)
I could not get enough
(Under the bridge downtown)
Forgot about my love
(Under the bridge downtown)
I gave my life away
Yeah, yeah
Oh, no, no-no-no, yeah, yeah
Oh, no, I said, oh, yeah, yeah
Where I stay"
Creep,Radiohead,Pablo Honey,1992,Alternative rock,"When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so fuckin' special
But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
I don't care if it hurts
I wanna have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
So fuckin' special
I wish I was special
But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
She's running out the door (run)
She's running out
She run, run, run, run
Run
Whatever makes you happy
Whatever you want
You're so fuckin' special
I wish I was special
But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
I don't belong here"
